source,target,relation,confidence,weight,source_file
0100_HGSPlanner,0101_RTGuIDE,semantically_similar_to,INFERRED,0.9,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md
0100_HGSPlanner,0102_ActiveSplat,semantically_similar_to,INFERRED,0.9,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md
0100_HGSPlanner,concept_3DGS_c2,references,EXTRACTED,1.0,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md
0100_HGSPlanner,concept_NBV_c2,references,EXTRACTED,1.0,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md
0100_HGSPlanner,dataset_MP3D_c2,shares_data_with,EXTRACTED,1.0,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md
0102_ActiveSplat,0100_HGSPlanner,cites,EXTRACTED,1.0,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md
0102_ActiveSplat,0101_RTGuIDE,cites,EXTRACTED,1.0,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md
0102_ActiveSplat,0106_ActiveGS,cites,EXTRACTED,1.0,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md
0102_ActiveSplat,concept_3DGS_c2,references,EXTRACTED,1.0,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md
0102_ActiveSplat,dataset_Gibson_c2,shares_data_with,EXTRACTED,1.0,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md
0102_ActiveSplat,dataset_MP3D_c2,shares_data_with,EXTRACTED,1.0,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md
0104_SAFERSplat,concept_3DGS_c2,references,EXTRACTED,1.0,0104_[Robotics]_SAFER-Splat A Control Barrier Function for Safe Navigation with Online G.md
0104_SAFERSplat,concept_CBF_c2,references,EXTRACTED,1.0,0104_[Robotics]_SAFER-Splat A Control Barrier Function for Safe Navigation with Online G.md
0106_ActiveGS,concept_3DGS_c2,references,EXTRACTED,1.0,0106_[Robotics]_ActiveGS Active Scene Reconstruction using Gaussian Splatting.md
0106_ActiveGS,dataset_Replica_c2,shares_data_with,EXTRACTED,1.0,0106_[Robotics]_ActiveGS Active Scene Reconstruction using Gaussian Splatting.md
0128_GSLoc,0129_LoGS,semantically_similar_to,INFERRED,0.9,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
